id,events_no,start,start_time,team1_id,team2_id,name,team1_score,team2_score,betDone,gameDone
831,1,2021-03-16,19:30,8,11,울산 vs 제주,0,0,FALSE,FALSE
832,1,2021-03-17,19:00,12,6,포항 vs 수원,0,0,FALSE,FALSE
833,1,2021-03-17,19:00,1,5,강원 vs 성남,0,0,FALSE,FALSE
834,1,2021-03-17,19:30,4,2,서울 vs 광주,0,0,FALSE,FALSE
835,1,2021-03-17,19:30,9,7,인천 vs 수원FC,0,0,FALSE,FALSE
836,1,2021-03-20,14:00,11,2,제주 vs 광주,0,0,FALSE,FALSE
837,1,2021-03-20,16:30,10,7,전북 vs 수원FC,0,0,FALSE,FALSE
838,1,2021-03-21,14:00,1,9,강원 vs 인천,0,0,FALSE,FALSE
839,1,2021-03-21,14:00,5,12,성남 vs 포항,0,0,FALSE,FALSE
840,1,2021-03-21,16:30,6,4,수원 vs 서울,0,0,FALSE,FALSE
841,1,2021-03-21,19:00,3,8,대구 vs 울산,0,0,FALSE,FALSE
842,1,2021-04-02,19:30,12,3,포항 vs 대구,0,0,FALSE,FALSE
843,1,2021-04-03,14:00,6,10,수원 vs 전북,0,0,FALSE,FALSE
844,1,2021-04-03,16:30,5,8,성남 vs 울산,0,0,FALSE,FALSE
845,1,2021-04-03,19:00,4,1,서울 vs 강원,0,0,FALSE,FALSE
846,1,2021-04-04,14:00,7,11,수원FC vs 제주,0,0,FALSE,FALSE
847,1,2021-04-04,16:30,2,9,광주 vs 인천,0,0,FALSE,FALSE
848,1,2021-04-06,19:00,12,10,포항 vs 전북,0,0,FALSE,FALSE
849,1,2021-04-06,19:30,3,5,대구 vs 성남,0,0,FALSE,FALSE
850,1,2021-04-07,19:00,8,4,울산 vs 서울,0,0,FALSE,FALSE
851,1,2021-04-07,19:30,2,7,광주 vs 수원FC,0,0,FALSE,FALSE
852,1,2021-04-07,19:30,9,6,인천 vs 수원,0,0,FALSE,FALSE
853,1,2021-04-07,19:30,11,1,제주 vs 강원,0,0,FALSE,FALSE
854,1,2021-04-10,14:00,1,3,강원 vs 대구,0,0,FALSE,FALSE
855,1,2021-04-10,16:30,4,12,서울 vs 포항,0,0,FALSE,FALSE
856,1,2021-04-10,19:00,5,2,성남 vs 광주,0,0,FALSE,FALSE
857,1,2021-04-11,14:00,11,6,제주 vs 수원,0,0,FALSE,FALSE
858,1,2021-04-11,16:30,7,8,수원FC vs 울산,0,0,FALSE,FALSE
859,1,2021-04-11,19:00,10,9,전북 vs 인천,0,0,FALSE,FALSE
860,1,2021-05-21,19:30,9,11,인천 vs 제주,0,0,FALSE,FALSE
861,1,2021-05-22,16:30,4,3,서울 vs 대구,0,0,FALSE,FALSE
862,1,2021-05-22,19:00,2,12,광주 vs 포항,0,0,FALSE,FALSE
863,1,2021-05-22,19:00,7,1,수원FC vs 강원,0,0,FALSE,FALSE
864,1,2021-05-23,16:30,10,5,전북 vs 성남,0,0,FALSE,FALSE
865,1,2021-05-23,19:00,6,8,수원 vs 울산,0,0,FALSE,FALSE
866,1,2021-05-25,19:00,1,2,강원 vs 광주,0,0,FALSE,FALSE
867,1,2021-05-25,19:30,12,7,포항 vs 수원FC,0,0,FALSE,FALSE
868,1,2021-05-26,19:00,8,10,울산 vs 전북,0,0,FALSE,FALSE
869,1,2021-05-26,19:30,5,9,성남 vs 인천,0,0,FALSE,FALSE
870,1,2021-05-26,19:30,3,6,대구 vs 수원,0,0,FALSE,FALSE
871,1,2021-05-26,19:30,11,4,제주 vs 서울,0,0,FALSE,FALSE
872,1,2021-05-29,16:30,12,11,포항 vs 제주,0,0,FALSE,FALSE
873,1,2021-05-29,19:00,2,3,광주 vs 대구,0,0,FALSE,FALSE
874,1,2021-05-29,19:00,1,10,강원 vs 전북,0,0,FALSE,FALSE
875,1,2021-05-30,16:30,9,8,인천 vs 울산,0,0,FALSE,FALSE
876,1,2021-05-30,16:30,7,4,수원FC vs 서울,0,0,FALSE,FALSE
877,1,2021-05-30,19:00,5,6,성남 vs 수원,0,0,FALSE,FALSE
878,1,2021-06-18,19:30,4,5,서울 vs 성남,0,0,FALSE,FALSE
879,1,2021-06-19,16:30,6,12,수원 vs 포항,0,0,FALSE,FALSE
880,1,2021-06-19,19:00,8,2,울산 vs 광주,0,0,FALSE,FALSE
881,1,2021-06-19,19:00,7,3,수원FC vs 대구,0,0,FALSE,FALSE
882,1,2021-06-20,16:30,10,11,전북 vs 제주,0,0,FALSE,FALSE
883,1,2021-06-20,19:00,9,1,인천 vs 강원,0,0,FALSE,FALSE
884,1,2021-06-26,16:30,12,1,포항 vs 강원,0,0,FALSE,FALSE
885,1,2021-06-26,16:30,3,9,대구 vs 인천,0,0,FALSE,FALSE
886,1,2021-06-26,19:00,2,4,광주 vs 서울,0,0,FALSE,FALSE
887,1,2021-06-26,19:00,11,7,제주 vs 수원FC,0,0,FALSE,FALSE
888,1,2021-06-27,16:30,8,5,울산 vs 성남,0,0,FALSE,FALSE
889,1,2021-06-27,19:00,10,6,전북 vs 수원,0,0,FALSE,FALSE
890,1,2021-06-29,19:00,7,2,수원FC vs 광주,0,0,FALSE,FALSE
891,1,2021-06-29,19:30,9,12,인천 vs 포항,0,0,FALSE,FALSE
892,1,2021-06-30,19:00,6,11,수원 vs 제주,0,0,FALSE,FALSE
893,1,2021-06-30,19:00,5,10,성남 vs 전북,0,0,FALSE,FALSE
894,1,2021-06-30,19:30,1,8,강원 vs 울산,0,0,FALSE,FALSE
895,1,2021-06-30,20:00,3,4,대구 vs 서울,0,0,FALSE,FALSE
896,1,2021-07-03,18:00,12,5,포항 vs 성남,0,0,FALSE,FALSE
897,1,2021-07-03,19:00,1,7,강원 vs 수원FC,0,0,FALSE,FALSE
898,1,2021-07-03,19:00,9,2,인천 vs 광주,0,0,FALSE,FALSE
899,1,2021-07-03,20:00,4,10,서울 vs 전북,0,0,FALSE,FALSE
900,1,2021-07-04,18:00,8,6,울산 vs 수원,0,0,FALSE,FALSE
901,1,2021-07-04,19:00,11,3,제주 vs 대구,0,0,FALSE,FALSE
902,1,2021-07-06,19:30,4,9,서울 vs 인천,0,0,FALSE,FALSE
903,1,2021-07-06,20:00,7,12,수원FC vs 포항,0,0,FALSE,FALSE
904,1,2021-07-07,19:00,10,8,전북 vs 울산,0,0,FALSE,FALSE
905,1,2021-07-07,19:30,6,3,수원 vs 대구,0,0,FALSE,FALSE
906,1,2021-07-07,19:30,5,1,성남 vs 강원,0,0,FALSE,FALSE
907,1,2021-07-07,20:00,2,11,광주 vs 제주,0,0,FALSE,FALSE
908,1,2021-07-09,19:30,7,9,수원FC vs 인천,0,0,FALSE,FALSE
909,1,2021-07-10,19:00,11,5,제주 vs 성남,0,0,FALSE,FALSE
910,1,2021-07-10,20:00,8,12,울산 vs 포항,0,0,FALSE,FALSE
911,1,2021-07-11,18:00,1,4,강원 vs 서울,0,0,FALSE,FALSE
912,1,2021-07-11,19:00,2,6,광주 vs 수원,0,0,FALSE,FALSE
913,1,2021-07-11,20:00,3,10,대구 vs 전북,0,0,FALSE,FALSE
914,1,2021-07-16,19:30,5,7,성남 vs 수원FC,0,0,FALSE,FALSE
915,1,2021-07-17,18:00,9,10,인천 vs 전북,0,0,FALSE,FALSE
916,1,2021-07-17,19:00,11,8,제주 vs 울산,0,0,FALSE,FALSE
917,1,2021-07-17,20:00,4,6,서울 vs 수원,0,0,FALSE,FALSE
918,1,2021-07-18,18:00,3,1,대구 vs 강원,0,0,FALSE,FALSE
919,1,2021-07-18,20:00,12,2,포항 vs 광주,0,0,FALSE,FALSE
920,1,2021-07-20,19:30,6,7,수원 vs 수원FC,0,0,FALSE,FALSE
921,1,2021-07-20,19:30,4,11,서울 vs 제주,0,0,FALSE,FALSE
922,1,2021-07-20,20:00,9,5,인천 vs 성남,0,0,FALSE,FALSE
923,1,2021-07-21,19:00,10,12,전북 vs 포항,0,0,FALSE,FALSE
924,1,2021-07-21,19:00,8,3,울산 vs 대구,0,0,FALSE,FALSE
925,1,2021-07-21,20:00,2,1,광주 vs 강원,0,0,FALSE,FALSE
926,1,2021-07-23,19:30,6,9,수원 vs 인천,0,0,FALSE,FALSE
927,1,2021-07-24,19:00,10,2,전북 vs 광주,0,0,FALSE,FALSE
928,1,2021-07-24,19:00,12,4,포항 vs 서울,0,0,FALSE,FALSE
929,1,2021-07-24,19:00,5,3,성남 vs 대구,0,0,FALSE,FALSE
930,1,2021-07-25,19:00,8,7,울산 vs 수원FC,0,0,FALSE,FALSE
